,context,ques,ans
10,"The academic calendar at IIT Patna is divided into two semesters: Autumn (July-December) and Spring (January-May). Each semester includes mid-semester and end-semester exams, registration periods, and breaks. Students must maintain at least 75% attendance in all courses to be eligible for examinations. Attendance is strictly monitored, with caution letters issued to students falling short of the requirement.",How many semesters are there in the academic year at IIT Patna?,There are two semesters in the academic year at IIT Patna.
11,"The academic calendar at IIT Patna is divided into two semesters: Autumn (July-December) and Spring (January-May). Each semester includes mid-semester and end-semester exams, registration periods, and breaks. Students must maintain at least 75% attendance in all courses to be eligible for examinations. Attendance is strictly monitored, with caution letters issued to students falling short of the requirement.",What are the names of the two semesters at IIT Patna?,The two semesters at IIT Patna are Autumn and Spring.
12,"The academic calendar at IIT Patna is divided into two semesters: Autumn (July-December) and Spring (January-May). Each semester includes mid-semester and end-semester exams, registration periods, and breaks. Students must maintain at least 75% attendance in all courses to be eligible for examinations. Attendance is strictly monitored, with caution letters issued to students falling short of the requirement.",What is the duration of the Autumn semester?,The Autumn semester runs from July to December.
13,"The academic calendar at IIT Patna is divided into two semesters: Autumn (July-December) and Spring (January-May). Each semester includes mid-semester and end-semester exams, registration periods, and breaks. Students must maintain at least 75% attendance in all courses to be eligible for examinations. Attendance is strictly monitored, with caution letters issued to students falling short of the requirement.",What is the duration of the Spring semester?,The Spring semester runs from January to May.
14,"The academic calendar at IIT Patna is divided into two semesters: Autumn (July-December) and Spring (January-May). Each semester includes mid-semester and end-semester exams, registration periods, and breaks. Students must maintain at least 75% attendance in all courses to be eligible for examinations. Attendance is strictly monitored, with caution letters issued to students falling short of the requirement.",What are some key components of each semester at IIT Patna?,"Each semester includes mid-semester and end-semester exams, registration periods, and breaks."
15,"The academic calendar at IIT Patna is divided into two semesters: Autumn (July-December) and Spring (January-May). Each semester includes mid-semester and end-semester exams, registration periods, and breaks. Students must maintain at least 75% attendance in all courses to be eligible for examinations. Attendance is strictly monitored, with caution letters issued to students falling short of the requirement.",What is the minimum attendance percentage required for students to be eligible for examinations?,Students must maintain at least 75% attendance in all courses.
16,"The academic calendar at IIT Patna is divided into two semesters: Autumn (July-December) and Spring (January-May). Each semester includes mid-semester and end-semester exams, registration periods, and breaks. Students must maintain at least 75% attendance in all courses to be eligible for examinations. Attendance is strictly monitored, with caution letters issued to students falling short of the requirement.",How is attendance monitored at IIT Patna?,Attendance is strictly monitored at IIT Patna.
17,"The academic calendar at IIT Patna is divided into two semesters: Autumn (July-December) and Spring (January-May). Each semester includes mid-semester and end-semester exams, registration periods, and breaks. Students must maintain at least 75% attendance in all courses to be eligible for examinations. Attendance is strictly monitored, with caution letters issued to students falling short of the requirement.",What happens to students who do not meet the minimum attendance requirement?,Caution letters are issued to students falling short of the attendance requirement.
18,"IIT Patna offers eight undergraduate BTech programs across engineering disciplines such as Computer Science, Mechanical Engineering, Electrical Engineering, and Civil Engineering. The curriculum emphasizes both theoretical knowledge and practical skills through lectures, tutorials, labs, and projects. Students can also choose electives from interdisciplinary areas like artificial intelligence and data science.",How many undergraduate BTech programs does IIT Patna offer?,IIT Patna offers eight undergraduate BTech programs.
19,"IIT Patna offers eight undergraduate BTech programs across engineering disciplines such as Computer Science, Mechanical Engineering, Electrical Engineering, and Civil Engineering. The curriculum emphasizes both theoretical knowledge and practical skills through lectures, tutorials, labs, and projects. Students can also choose electives from interdisciplinary areas like artificial intelligence and data science.",Name some of the engineering disciplines in which IIT Patna offers BTech programs.,"IIT Patna offers BTech programs in Computer Science, Mechanical Engineering, Electrical Engineering, and Civil Engineering."
20,"IIT Patna offers eight undergraduate BTech programs across engineering disciplines such as Computer Science, Mechanical Engineering, Electrical Engineering, and Civil Engineering. The curriculum emphasizes both theoretical knowledge and practical skills through lectures, tutorials, labs, and projects. Students can also choose electives from interdisciplinary areas like artificial intelligence and data science.",What is the focus of the curriculum at IIT Patna?,The curriculum at IIT Patna emphasizes both theoretical knowledge and practical skills.
21,"IIT Patna offers eight undergraduate BTech programs across engineering disciplines such as Computer Science, Mechanical Engineering, Electrical Engineering, and Civil Engineering. The curriculum emphasizes both theoretical knowledge and practical skills through lectures, tutorials, labs, and projects. Students can also choose electives from interdisciplinary areas like artificial intelligence and data science.",What are some of the teaching methods used at IIT Patna?,"Teaching methods include lectures, tutorials, labs, and projects."
22,"IIT Patna offers eight undergraduate BTech programs across engineering disciplines such as Computer Science, Mechanical Engineering, Electrical Engineering, and Civil Engineering. The curriculum emphasizes both theoretical knowledge and practical skills through lectures, tutorials, labs, and projects. Students can also choose electives from interdisciplinary areas like artificial intelligence and data science.",What options do students have regarding course selection at IIT Patna?,Students can also choose electives from interdisciplinary areas like artificial intelligence and data science.
23,The grading system at IIT Patna follows a 10-point scale with grades ranging from 'A+' (excellent) to 'F' (fail). Transitional grades like 'I' (Incomplete) are awarded if a student misses an exam due to valid reasons such as illness or emergencies. 'X' grades may be given if a student’s performance is satisfactory overall but fails the end-semester exam.,What type of grading system does IIT Patna follow?,The grading system at IIT Patna follows a 10-point scale.
24,The grading system at IIT Patna follows a 10-point scale with grades ranging from 'A+' (excellent) to 'F' (fail). Transitional grades like 'I' (Incomplete) are awarded if a student misses an exam due to valid reasons such as illness or emergencies. 'X' grades may be given if a student’s performance is satisfactory overall but fails the end-semester exam.,What is the highest grade in the IIT Patna grading system?,The highest grade is 'A+' (excellent).
25,The grading system at IIT Patna follows a 10-point scale with grades ranging from 'A+' (excellent) to 'F' (fail). Transitional grades like 'I' (Incomplete) are awarded if a student misses an exam due to valid reasons such as illness or emergencies. 'X' grades may be given if a student’s performance is satisfactory overall but fails the end-semester exam.,What is the failing grade in the IIT Patna grading system?,The failing grade is 'F'.
26,The grading system at IIT Patna follows a 10-point scale with grades ranging from 'A+' (excellent) to 'F' (fail). Transitional grades like 'I' (Incomplete) are awarded if a student misses an exam due to valid reasons such as illness or emergencies. 'X' grades may be given if a student’s performance is satisfactory overall but fails the end-semester exam.,Under what circumstances is an 'I' grade awarded at IIT Patna?,An 'I' (Incomplete) grade is awarded if a student misses an exam due to valid reasons such as illness or emergencies.
27,The grading system at IIT Patna follows a 10-point scale with grades ranging from 'A+' (excellent) to 'F' (fail). Transitional grades like 'I' (Incomplete) are awarded if a student misses an exam due to valid reasons such as illness or emergencies. 'X' grades may be given if a student’s performance is satisfactory overall but fails the end-semester exam.,When might an 'X' grade be given at IIT Patna?,An 'X' grade may be given if a student’s performance is satisfactory overall but fails the end-semester exam.
28,"Student life at IIT Patna includes participation in various clubs such as NJACK (Computer Science Club), Tinkerer's Lab (innovation-focused club), AI-NLP-ML Group (machine learning research), Sparkonics (electronics club), and literary societies. These clubs host workshops, competitions, and projects to enhance technical skills and creativity among students.",What are some examples of clubs available to students at IIT Patna?,"Examples include NJACK (Computer Science Club), Tinkerer's Lab, AI-NLP-ML Group, Sparkonics, and literary societies."
29,"Student life at IIT Patna includes participation in various clubs such as NJACK (Computer Science Club), Tinkerer's Lab (innovation-focused club), AI-NLP-ML Group (machine learning research), Sparkonics (electronics club), and literary societies. These clubs host workshops, competitions, and projects to enhance technical skills and creativity among students.",What is the focus of NJACK?,NJACK is the Computer Science Club.
30,"Student life at IIT Patna includes participation in various clubs such as NJACK (Computer Science Club), Tinkerer's Lab (innovation-focused club), AI-NLP-ML Group (machine learning research), Sparkonics (electronics club), and literary societies. These clubs host workshops, competitions, and projects to enhance technical skills and creativity among students.",What is the focus of Tinkerer's Lab?,Tinkerer's Lab is an innovation-focused club.
31,"Student life at IIT Patna includes participation in various clubs such as NJACK (Computer Science Club), Tinkerer's Lab (innovation-focused club), AI-NLP-ML Group (machine learning research), Sparkonics (electronics club), and literary societies. These clubs host workshops, competitions, and projects to enhance technical skills and creativity among students.",What is the focus of the AI-NLP-ML Group?,The AI-NLP-ML Group focuses on machine learning research.
32,"Student life at IIT Patna includes participation in various clubs such as NJACK (Computer Science Club), Tinkerer's Lab (innovation-focused club), AI-NLP-ML Group (machine learning research), Sparkonics (electronics club), and literary societies. These clubs host workshops, competitions, and projects to enhance technical skills and creativity among students.",What is the focus of Sparkonics?,Sparkonics is the electronics club.
33,"Student life at IIT Patna includes participation in various clubs such as NJACK (Computer Science Club), Tinkerer's Lab (innovation-focused club), AI-NLP-ML Group (machine learning research), Sparkonics (electronics club), and literary societies. These clubs host workshops, competitions, and projects to enhance technical skills and creativity among students.",What types of activities do these clubs typically organize?,"These clubs host workshops, competitions, and projects."
34,"Student life at IIT Patna includes participation in various clubs such as NJACK (Computer Science Club), Tinkerer's Lab (innovation-focused club), AI-NLP-ML Group (machine learning research), Sparkonics (electronics club), and literary societies. These clubs host workshops, competitions, and projects to enhance technical skills and creativity among students.",What are the goals of these club activities?,The goals are to enhance technical skills and creativity among students.
35,"IIT Patna provides ample opportunities for sports enthusiasts through its annual sports fest ""Infinito"" and well-equipped sports infrastructure on campus. Students participate in events like cricket, football, badminton, and athletics during the fest, fostering teamwork and competitive spirit.",How does IIT Patna cater to sports enthusiasts?,"IIT Patna provides ample opportunities through its annual sports fest ""Infinito"" and well-equipped sports infrastructure."
36,"IIT Patna provides ample opportunities for sports enthusiasts through its annual sports fest ""Infinito"" and well-equipped sports infrastructure on campus. Students participate in events like cricket, football, badminton, and athletics during the fest, fostering teamwork and competitive spirit.",What is the name of the annual sports fest at IIT Patna?,"The annual sports fest at IIT Patna is ""Infinito""."
37,"IIT Patna provides ample opportunities for sports enthusiasts through its annual sports fest ""Infinito"" and well-equipped sports infrastructure on campus. Students participate in events like cricket, football, badminton, and athletics during the fest, fostering teamwork and competitive spirit.","What are some of the sports events held during ""Infinito""?","Events include cricket, football, badminton, and athletics."
38,"IIT Patna provides ample opportunities for sports enthusiasts through its annual sports fest ""Infinito"" and well-equipped sports infrastructure on campus. Students participate in events like cricket, football, badminton, and athletics during the fest, fostering teamwork and competitive spirit.",What are the benefits of participating in sports events at IIT Patna?,Participating fosters teamwork and competitive spirit.
39,"The attendance policy at IIT Patna mandates a minimum of 75% attendance in lectures, tutorials, labs, seminars, and other academic activities to qualify for end-semester exams. Students failing to meet this requirement receive an ""F"" grade for the course and are debarred from exams.",What is the minimum attendance required at IIT Patna to qualify for end-semester exams?,The minimum required attendance is 75%.
40,"The attendance policy at IIT Patna mandates a minimum of 75% attendance in lectures, tutorials, labs, seminars, and other academic activities to qualify for end-semester exams. Students failing to meet this requirement receive an ""F"" grade for the course and are debarred from exams.",In which academic activities is attendance mandatory?,"Attendance is mandatory in lectures, tutorials, labs, seminars, and other academic activities."
41,"The attendance policy at IIT Patna mandates a minimum of 75% attendance in lectures, tutorials, labs, seminars, and other academic activities to qualify for end-semester exams. Students failing to meet this requirement receive an ""F"" grade for the course and are debarred from exams.",What is the consequence of not meeting the minimum attendance requirement?,"Students failing to meet the requirement receive an ""F"" grade for the course and are debarred from exams."
42,"The placement process at IIT Patna is managed by the Centre for Career Development (CCD). Companies are invited for recruitment drives through pre-placement talks, screening tests, group discussions, and interviews. Students submit resumes for shortlisting based on company requirements. CCD ensures transparency in placement policies.",Which body manages the placement process at IIT Patna?,The Centre for Career Development (CCD) manages the placement process.
43,"The placement process at IIT Patna is managed by the Centre for Career Development (CCD). Companies are invited for recruitment drives through pre-placement talks, screening tests, group discussions, and interviews. Students submit resumes for shortlisting based on company requirements. CCD ensures transparency in placement policies.",How are companies invited for recruitment at IIT Patna?,"Companies are invited through pre-placement talks, screening tests, group discussions, and interviews."
44,"The placement process at IIT Patna is managed by the Centre for Career Development (CCD). Companies are invited for recruitment drives through pre-placement talks, screening tests, group discussions, and interviews. Students submit resumes for shortlisting based on company requirements. CCD ensures transparency in placement policies.",What do students need to do to participate in the placement process?,Students submit resumes for shortlisting based on company requirements.
45,"The placement process at IIT Patna is managed by the Centre for Career Development (CCD). Companies are invited for recruitment drives through pre-placement talks, screening tests, group discussions, and interviews. Students submit resumes for shortlisting based on company requirements. CCD ensures transparency in placement policies.",What does the CCD ensure regarding placement policies?,CCD ensures transparency in placement policies.
46,IIT Patna offers assistantships to eligible MTech students funded either by the institute or external organizations. Students receiving assistantships must perform academic duties such as assisting faculty members with research or teaching tasks. Unauthorized absences can result in disciplinary actions or termination of assistantships.,Who is eligible for assistantships at IIT Patna?,Eligible MTech students are eligible for assistantships.
47,IIT Patna offers assistantships to eligible MTech students funded either by the institute or external organizations. Students receiving assistantships must perform academic duties such as assisting faculty members with research or teaching tasks. Unauthorized absences can result in disciplinary actions or termination of assistantships.,Who funds these assistantships?,Assistantships are funded either by the institute or external organizations.
48,IIT Patna offers assistantships to eligible MTech students funded either by the institute or external organizations. Students receiving assistantships must perform academic duties such as assisting faculty members with research or teaching tasks. Unauthorized absences can result in disciplinary actions or termination of assistantships.,What responsibilities do students with assistantships have?,They must perform academic duties such as assisting faculty members with research or teaching tasks.
49,IIT Patna offers assistantships to eligible MTech students funded either by the institute or external organizations. Students receiving assistantships must perform academic duties such as assisting faculty members with research or teaching tasks. Unauthorized absences can result in disciplinary actions or termination of assistantships.,What are the consequences of unauthorized absences for students with assistantships?,Unauthorized absences can result in disciplinary actions or termination of assistantships.
50,The convocation ceremony at IIT Patna marks the transition of students into professional life. Graduates receive degrees along with awards such as the President of India Gold Medal for academic excellence and proficiency prizes for outstanding achievements in academics or leadership roles during their tenure at the institute.,What is the significance of the convocation ceremony at IIT Patna?,It marks the transition of students into professional life.
51,The convocation ceremony at IIT Patna marks the transition of students into professional life. Graduates receive degrees along with awards such as the President of India Gold Medal for academic excellence and proficiency prizes for outstanding achievements in academics or leadership roles during their tenure at the institute.,What do graduates receive during the convocation ceremony?,Graduates receive degrees.
52,The convocation ceremony at IIT Patna marks the transition of students into professional life. Graduates receive degrees along with awards such as the President of India Gold Medal for academic excellence and proficiency prizes for outstanding achievements in academics or leadership roles during their tenure at the institute.,What is the President of India Gold Medal awarded for?,It is awarded for academic excellence.
53,The convocation ceremony at IIT Patna marks the transition of students into professional life. Graduates receive degrees along with awards such as the President of India Gold Medal for academic excellence and proficiency prizes for outstanding achievements in academics or leadership roles during their tenure at the institute.,What are proficiency prizes awarded for?,"They are awarded for outstanding achievements in academics or leadership roles during their tenure at the institute.
I will now continue generating more triplets."
54,"IIT Patna's ""Celesta"" is the institute's annual techno-management fest that showcases innovation and technical expertise. Events include robotics competitions, coding challenges, hackathons, and management case studies. The fest also features guest lectures by industry leaders and academicians.","What kind of fest is ""Celesta""?","""Celesta"" is the institute's annual techno-management fest."
55,"IIT Patna's ""Celesta"" is the institute's annual techno-management fest that showcases innovation and technical expertise. Events include robotics competitions, coding challenges, hackathons, and management case studies. The fest also features guest lectures by industry leaders and academicians.","What does ""Celesta"" showcase?",It showcases innovation and technical expertise.
56,"IIT Patna's ""Celesta"" is the institute's annual techno-management fest that showcases innovation and technical expertise. Events include robotics competitions, coding challenges, hackathons, and management case studies. The fest also features guest lectures by industry leaders and academicians.","Name some events that take place during ""Celesta"".","Events include robotics competitions, coding challenges, hackathons, and management case studies."
57,"IIT Patna's ""Celesta"" is the institute's annual techno-management fest that showcases innovation and technical expertise. Events include robotics competitions, coding challenges, hackathons, and management case studies. The fest also features guest lectures by industry leaders and academicians.","What other features does ""Celesta"" have?",The fest also features guest lectures by industry leaders and academicians.
58,"The academic programs at IIT Patna emphasize a balance between core subjects and electives. Students can choose electives from diverse fields such as humanities, social sciences, management, and emerging technologies like machine learning and blockchain. These electives enable students to explore interdisciplinary interests.",What is emphasized in the academic programs at IIT Patna?,A balance between core subjects and electives is emphasized.
59,"The academic programs at IIT Patna emphasize a balance between core subjects and electives. Students can choose electives from diverse fields such as humanities, social sciences, management, and emerging technologies like machine learning and blockchain. These electives enable students to explore interdisciplinary interests.",From which fields can students choose electives at IIT Patna?,"Students can choose electives from diverse fields such as humanities, social sciences, management, and emerging technologies like machine learning and blockchain."
60,"The academic programs at IIT Patna emphasize a balance between core subjects and electives. Students can choose electives from diverse fields such as humanities, social sciences, management, and emerging technologies like machine learning and blockchain. These electives enable students to explore interdisciplinary interests.",What is the purpose of offering such a wide range of electives?,These electives enable students to explore interdisciplinary interests.
61,"IIT Patna has a well-defined marking scheme for all courses. Continuous assessment includes quizzes, assignments, lab work, mid-semester exams, and end-semester exams. The weightage of each component varies by course but typically includes 20–30% for assignments/quizzes and 40–50% for exams.",Does IIT Patna have a structured marking scheme?,"Yes, IIT Patna has a well-defined marking scheme for all courses."
62,"IIT Patna has a well-defined marking scheme for all courses. Continuous assessment includes quizzes, assignments, lab work, mid-semester exams, and end-semester exams. The weightage of each component varies by course but typically includes 20–30% for assignments/quizzes and 40–50% for exams.",What components are included in the continuous assessment at IIT Patna?,"Continuous assessment includes quizzes, assignments, lab work, mid-semester exams, and end-semester exams."
63,"IIT Patna has a well-defined marking scheme for all courses. Continuous assessment includes quizzes, assignments, lab work, mid-semester exams, and end-semester exams. The weightage of each component varies by course but typically includes 20–30% for assignments/quizzes and 40–50% for exams.",What is the typical weightage for assignments and quizzes in the marking scheme?,"Typically, assignments and quizzes have a weightage of 20–30%."
64,"IIT Patna has a well-defined marking scheme for all courses. Continuous assessment includes quizzes, assignments, lab work, mid-semester exams, and end-semester exams. The weightage of each component varies by course but typically includes 20–30% for assignments/quizzes and 40–50% for exams.",What is the typical weightage for exams in the marking scheme?,"Typically, exams have a weightage of 40–50%."
65,"The institute encourages research-oriented learning through its undergraduate research initiative (UGRI). Students can collaborate with faculty members on research projects across disciplines such as artificial intelligence, renewable energy, computational biology, and nanotechnology.",How does IIT Patna promote research among undergraduates?,The institute encourages research-oriented learning through its undergraduate research initiative (UGRI).
66,"The institute encourages research-oriented learning through its undergraduate research initiative (UGRI). Students can collaborate with faculty members on research projects across disciplines such as artificial intelligence, renewable energy, computational biology, and nanotechnology.",What opportunities are available to students under UGRI?,Students can collaborate with faculty members on research projects.
67,"The institute encourages research-oriented learning through its undergraduate research initiative (UGRI). Students can collaborate with faculty members on research projects across disciplines such as artificial intelligence, renewable energy, computational biology, and nanotechnology.",In which disciplines can students undertake research projects?,"Students can work on projects across disciplines such as artificial intelligence, renewable energy, computational biology, and nanotechnology."
68,"""Anwesha,"" IIT Patna's cultural fest, is known for its vibrant atmosphere with events like fashion shows, dance competitions, music performances, and art exhibitions. The fest also includes technical workshops and competitions to blend creativity with innovation.","What is ""Anwesha"" primarily known for?","""Anwesha"" is known for its vibrant atmosphere."
69,"""Anwesha,"" IIT Patna's cultural fest, is known for its vibrant atmosphere with events like fashion shows, dance competitions, music performances, and art exhibitions. The fest also includes technical workshops and competitions to blend creativity with innovation.","What types of events contribute to the vibrant atmosphere of ""Anwesha""?","Events like fashion shows, dance competitions, music performances, and art exhibitions contribute to the vibrant atmosphere."
70,"""Anwesha,"" IIT Patna's cultural fest, is known for its vibrant atmosphere with events like fashion shows, dance competitions, music performances, and art exhibitions. The fest also includes technical workshops and competitions to blend creativity with innovation.","Does ""Anwesha"" only focus on cultural events?","No, the fest also includes technical workshops and competitions."
71,"""Anwesha,"" IIT Patna's cultural fest, is known for its vibrant atmosphere with events like fashion shows, dance competitions, music performances, and art exhibitions. The fest also includes technical workshops and competitions to blend creativity with innovation.","What is the aim of including technical events in ""Anwesha""?",The aim is to blend creativity with innovation.
72,"IIT Patna provides hostel accommodation for all students with separate facilities for boys and girls. Hostels are equipped with Wi-Fi connectivity, common rooms with recreational facilities, mess services offering nutritious meals, and laundry services to ensure a comfortable living environment.",Is hostel accommodation available for all students at IIT Patna?,"Yes, IIT Patna provides hostel accommodation for all students."
73,"IIT Patna provides hostel accommodation for all students with separate facilities for boys and girls. Hostels are equipped with Wi-Fi connectivity, common rooms with recreational facilities, mess services offering nutritious meals, and laundry services to ensure a comfortable living environment.",Are there separate hostel facilities for male and female students?,"Yes, there are separate facilities for boys and girls."
74,"IIT Patna provides hostel accommodation for all students with separate facilities for boys and girls. Hostels are equipped with Wi-Fi connectivity, common rooms with recreational facilities, mess services offering nutritious meals, and laundry services to ensure a comfortable living environment.",What amenities are provided in the hostels at IIT Patna?,"Hostels are equipped with Wi-Fi connectivity, common rooms with recreational facilities, mess services offering nutritious meals, and laundry services."
75,"IIT Patna provides hostel accommodation for all students with separate facilities for boys and girls. Hostels are equipped with Wi-Fi connectivity, common rooms with recreational facilities, mess services offering nutritious meals, and laundry services to ensure a comfortable living environment.",What is the goal of providing these amenities?,The goal is to ensure a comfortable living environment.
76,The institute follows a strict code of conduct regarding academic integrity. Plagiarism in assignments or research work can lead to disciplinary actions such as deduction of grades or suspension from the course. Students are encouraged to uphold ethical standards in their academic pursuits.,Does IIT Patna have a policy on academic integrity?,"Yes, the institute follows a strict code of conduct regarding academic integrity."
77,The institute follows a strict code of conduct regarding academic integrity. Plagiarism in assignments or research work can lead to disciplinary actions such as deduction of grades or suspension from the course. Students are encouraged to uphold ethical standards in their academic pursuits.,What is considered a breach of academic integrity?,Plagiarism in assignments or research work is considered a breach.
78,The institute follows a strict code of conduct regarding academic integrity. Plagiarism in assignments or research work can lead to disciplinary actions such as deduction of grades or suspension from the course. Students are encouraged to uphold ethical standards in their academic pursuits.,What are the potential consequences of plagiarism?,Consequences can include deduction of grades or suspension from the course.
79,The institute follows a strict code of conduct regarding academic integrity. Plagiarism in assignments or research work can lead to disciplinary actions such as deduction of grades or suspension from the course. Students are encouraged to uphold ethical standards in their academic pursuits.,What are students encouraged to do regarding academic work?,Students are encouraged to uphold ethical standards in their academic pursuits.
80,"IIT Patna organizes ""TEDx IIT Patna,"" an independently organized TED event where speakers from diverse fields share ideas worth spreading. Topics range from technology innovations to personal growth stories, inspiring students to think creatively and critically.","What kind of event is ""TEDx IIT Patna""?",It is an independently organized TED event.
81,"IIT Patna organizes ""TEDx IIT Patna,"" an independently organized TED event where speakers from diverse fields share ideas worth spreading. Topics range from technology innovations to personal growth stories, inspiring students to think creatively and critically.","What do speakers do at ""TEDx IIT Patna""?",Speakers from diverse fields share ideas worth spreading.
82,"IIT Patna organizes ""TEDx IIT Patna,"" an independently organized TED event where speakers from diverse fields share ideas worth spreading. Topics range from technology innovations to personal growth stories, inspiring students to think creatively and critically.","What is the range of topics covered at ""TEDx IIT Patna""?",Topics range from technology innovations to personal growth stories.
83,"IIT Patna organizes ""TEDx IIT Patna,"" an independently organized TED event where speakers from diverse fields share ideas worth spreading. Topics range from technology innovations to personal growth stories, inspiring students to think creatively and critically.","What is the aim of ""TEDx IIT Patna""?",The aim is to inspire students to think creatively and critically.
84,"The library at IIT Patna is a hub for academic resources with over 50,000 books, journals, e-books, and databases like IEEE Xplore and SpringerLink. It also offers access to digital repositories for research papers and theses to support students' academic endeavors.",What is the IIT Patna library considered?,It is a hub for academic resources.
85,"The library at IIT Patna is a hub for academic resources with over 50,000 books, journals, e-books, and databases like IEEE Xplore and SpringerLink. It also offers access to digital repositories for research papers and theses to support students' academic endeavors.",What is the approximate number of books and journals in the IIT Patna library?,"The library has over 50,000 books and journals."
86,"The library at IIT Patna is a hub for academic resources with over 50,000 books, journals, e-books, and databases like IEEE Xplore and SpringerLink. It also offers access to digital repositories for research papers and theses to support students' academic endeavors.",What types of digital resources does the library offer?,It offers e-books and databases like IEEE Xplore and SpringerLink.
